path	category	producer	licence	licence_url	sha256	url
56392.docx	business-letter	libreoffice-writer	Apache-2.0	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/legal/LICENSE	bdff4457ccfbe7482f8230e2e1085e8becdda5bc869237923a4e70977d3b6678	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/document/56392.docx
61991.docx	report	microsoft-word	Apache-2.0	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/legal/LICENSE	e48f4d42f64b6b7bfc30827c37285fc6af692bdb9b73d9caca90343afeb6b140	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/document/61991.docx
form_footnotes.docx	form	microsoft-word	Apache-2.0	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/legal/LICENSE	a890294bfbdc63f6d03eab61efc1e98cb51d59f0920541150dd7082f9bdf31f1	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/document/form_footnotes.docx
redlined_no_footer.docx	legal-revision	microsoft-word	MIT	https://raw.githubusercontent.com/sontanon/docx-mcp/891aabaa6b33eb93d867b5d69adb5991bdfbde69/LICENSE	93445f314f9c63f166f39e446bdbcea7140e610d10a9dd800baadf5b27069a1a	https://raw.githubusercontent.com/sontanon/docx-mcp/891aabaa6b33eb93d867b5d69adb5991bdfbde69/corpus/redlined_no_footer.docx
rtl.docx	multi-script	libreoffice-writer	Apache-2.0	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/legal/LICENSE	d159b6ac6734f14a9ecf8e97ca5029bdcddbfae2d33ba0128aa774924e0b190d	https://raw.githubusercontent.com/apache/poi/11ede1db13c554b4341266faeb84e327fc316379/test-data/document/rtl.docx
